Price,Levy,Manufacturer,Model,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Wheel,Color,Airbags,Age
13328,1399,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,186005,6.0,Automatic,4x4,Left wheel,Silver,12,15
16621,1018,CHEVROLET,Equinox,Jeep,No,Petrol,3.0,192000,6.0,Tiptronic,4x4,Left wheel,Black,8,14
8467,0,HONDA,FIT,Hatchback,No,Petrol,1.3,200000,4.0,Variator,Front,Right-hand drive,Black,2,19
3607,862,FORD,Escape,Jeep,Yes,Hybrid,2.5,168966,4.0,Automatic,4x4,Left wheel,White,0,14
11726,446,HONDA,FIT,Hatchback,Yes,Petrol,1.3,91901,4.0,Automatic,Front,Left wheel,Silver,4,11
39493,891,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,160931,4.0,Automatic,Front,Left wheel,White,4,9
1803,761,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,258909,4.0,Automatic,Front,Left wheel,White,12,15
549,751,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,216118,4.0,Automatic,Front,Left wheel,Grey,12,12
26657,0,LEXUS,RX 350,Jeep,Yes,Petrol,3.5,128500,6.0,Automatic,4x4,Left wheel,Silver,12,18
941,1053,MERCEDES-BENZ,E 350,Sedan,Yes,Diesel,3.5,184467,6.0,Automatic,Rear,Left wheel,White,12,11
3000,0,OPEL,Vectra,Goods wagon,No,CNG,1.6,350000,4.0,Manual,Front,Left wheel,White,4,28
1019,1055,LEXUS,RX 450,Jeep,Yes,Hybrid,3.5,138038,6.0,Automatic,Front,Left wheel,White,12,12
549,1079,TOYOTA,CHR,Jeep,Yes,Petrol,2.0,74146,4.0,Automatic,Front,Left wheel,White,12,7
7683,810,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,121840,4.0,Automatic,Front,Left wheel,Blue,12,9
28382,810,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,54317,4.0,Automatic,Front,Left wheel,White,4,9
18826,531,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,112645,4.0,Automatic,Front,Left wheel,Silver,4,13
20698,586,TOYOTA,Prius,Sedan,Yes,Plug-in Hybrid,1.8,187000,4.0,Automatic,Front,Left wheel,White,12,13
17562,1249,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,39709,4.0,Automatic,Front,Left wheel,Black,12,8
7840,0,FORD,Transit,Microbus,No,Diesel,2.0,230000,4.0,Manual,Front,Left wheel,White,0,24
4704,0,OPEL,Vectra,Sedan,No,Petrol,1.8,0,4.0,Automatic,Front,Left wheel,Green,4,30
20385,0,MERCEDES-BENZ,E 220,Sedan,Yes,Diesel,2.2,210000,4.0,Tiptronic,Rear,Left wheel,Black,8,19
30,0,TOYOTA,Prius,Sedan,No,Hybrid,1.5,169000,4.0,Automatic,Front,Left wheel,White,8,17
14454,583,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,158787,4.0,Automatic,Front,Left wheel,Silver,4,14
15681,1288,MERCEDES-BENZ,Vito,Goods wagon,No,Diesel,2.0,180000,6.0,Manual,Rear,Left wheel,White,4,18
19444,915,PORSCHE,Cayenne,Jeep,Yes,Diesel,3.0,175056,6.0,Automatic,4x4,Left wheel,White,12,11
125,1750,TOYOTA,Highlander,Sedan,Yes,Hybrid,3.3,287274,6.0,Automatic,4x4,Left wheel,White,12,17
24462,0,JEEP,Grand Cherokee,Jeep,Yes,Diesel,3.0,250000,6.0,Tiptronic,4x4,Left wheel,Black,10,18
23235,707,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,162000,4.0,Automatic,Front,Left wheel,Grey,4,14
7527,1486,HONDA,FIT,Hatchback,No,Hybrid,1.3,158000,4.0,Automatic,Front,Right-hand drive,Black,4,15
19121,531,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,103490,4.0,Automatic,Front,Left wheel,Silver,4,13
24462,751,TOYOTA,Camry,Sedan,Yes,Petrol,2.4,203200,4.0,Automatic,Front,Left wheel,Blue,4,12
45734,1091,HYUNDAI,H1,Universal,Yes,Diesel,2.5,61057,4.0,Automatic,Front,Left wheel,Black,4,9
20165,650,VOLKSWAGEN,Jetta,Sedan,Yes,Petrol,1.4,11200,4.0,Tiptronic,Front,Left wheel,Black,8,9
21326,382,HYUNDAI,Sonata,Sedan,Yes,Hybrid,2.4,141000,4.0,Tiptronic,Front,Left wheel,White,12,11
15681,503,TOYOTA,Prius C,Hatchback,No,Hybrid,1.5,128000,4.0,Variator,Front,Left wheel,Sky blue,8,13
12544,0,TOYOTA,Aqua,Hatchback,No,Hybrid,1.5,141500,4.0,Automatic,Front,Right-hand drive,Black,8,13
17249,0,FORD,Escape Hybrid,Jeep,No,Hybrid,2.3,147000,4.0,Variator,4x4,Left wheel,White,8,17
34889,891,HONDA,Civic,Sedan,Yes,Petrol,2.0,87768,4.0,Automatic,Front,Left wheel,Blue,4,9
862,1104,AUDI,Q7,Jeep,Yes,Petrol,3.0,264014,6.0,Automatic,4x4,Left wheel,Black,0,10
14583,0,RENAULT,Megane 1.5CDI,Sedan,No,Diesel,1.5,132542,4.0,Manual,Front,Left wheel,White,10,17
392,1017,MERCEDES-BENZ,E 300,Sedan,Yes,Petrol,2.0,1600,4.0,Automatic,Rear,Left wheel,Black,12,8
38500,639,AUDI,Q5,Jeep,Yes,Petrol,2.0,87000,1.0,Tiptronic,4x4,Left wheel,White,12,11
8781,0,MERCEDES-BENZ,C 180,Coupe,No,Petrol,2.0,260000,4.0,Manual,Rear,Left wheel,Blue,0,24
1411,629,NISSAN,Juke,Jeep,Yes,Petrol,1.6,87112,4.0,Automatic,4x4,Left wheel,Black,0,10
392,919,BMW,535,Sedan,Yes,Petrol,3.0,204318,6.0,Automatic,Rear,Left wheel,Black,12,13
23521,781,CHEVROLET,Cruze LT,Sedan,No,Petrol,1.4,22000,4.0,Automatic,Front,Left wheel,Red,6,7
16935,530,FORD,Fusion,Sedan,No,Petrol,1.6,83000,4.0,Tiptronic,Front,Left wheel,Silver,8,12
10349,0,TOYOTA,VOXY,Minivan,Yes,Petrol,2.4,170000,4.0,Automatic,Front,Right-hand drive,Black,6,18
7213,530,NISSAN,Juke,Jeep,Yes,Petrol,1.6,312118,4.0,Automatic,Front,Left wheel,Black,0,12
5331,0,MERCEDES-BENZ,A 160,Sedan,No,Petrol,1.6,130000,4.0,Tiptronic,Front,Left wheel,Black,6,21
20526,640,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,200279,4.0,Automatic,Front,Left wheel,Grey,4,12
34657,777,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,154672,4.0,Automatic,Front,Left wheel,Silver,4,11
36564,1091,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,110969,4.0,Automatic,Front,Left wheel,Black,4,9
314,779,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,225510,4.0,Automatic,Front,Left wheel,White,12,12
5488,0,TOYOTA,Vitz,Hatchback,No,Petrol,1.5,210000,4.0,Manual,Front,Right-hand drive,Sky blue,3,24
30063,934,HYUNDAI,H1,Universal,Yes,Diesel,2.5,148105,4.0,Automatic,Front,Left wheel,Silver,4,10
15800,769,CHEVROLET,Captiva,Jeep,Yes,Diesel,2.2,255456,4.0,Automatic,Front,Left wheel,Silver,4,14
43952,1249,HYUNDAI,H1,Universal,Yes,Diesel,2.5,111643,4.0,Automatic,Front,Left wheel,Grey,4,8
14740,645,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,288000,4.0,Automatic,Front,Left wheel,White,8,14
42337,0,FORD,Mustang,Cabriolet,Yes,Petrol,2.3,75000,4.0,Tiptronic,Rear,Left wheel,Silver,6,9
3763,1053,MERCEDES-BENZ,ML 350,Jeep,Yes,Petrol,3.5,94362,6.0,Automatic,Rear,Left wheel,White,12,11
18189,0,TOYOTA,Prius,Sedan,No,Petrol,1.8,175000,4.0,Automatic,Front,Left wheel,Silver,8,13
220,1185,FORD,Escape,Jeep,Yes,Hybrid,2.5,193614,4.0,Automatic,Front,Left wheel,White,0,16
5645,1324,TOYOTA,Highlander,Jeep,Yes,Hybrid,3.3,264877,6.0,Automatic,4x4,Left wheel,White,12,15
7527,830,TOYOTA,Yaris,Sedan,Yes,Petrol,1.5,27656,4.0,Automatic,Front,Left wheel,White,12,6
21953,1187,HONDA,Civic,Sedan,No,Hybrid,1.4,16000,8.0,Automatic,4x4,Right-hand drive,White,10,11
8154,0,HONDA,Cr-v,Jeep,No,Petrol,2.0,0,4.0,Automatic,4x4,Right-hand drive,White,2,27
21953,781,TOYOTA,Camry,Sedan,No,Petrol,2.5,195053,4.0,Automatic,Front,Left wheel,Black,0,13
19121,531,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,121362,4.0,Automatic,Front,Left wheel,Black,4,13
36065,639,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,69191,4.0,Automatic,Front,Left wheel,White,4,11
8781,1111,HONDA,FIT,Hatchback,Yes,Hybrid,1.3,83000,4.0,Tiptronic,Front,Right-hand drive,Green,12,13
6247,760,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.8,40772,4.0,Automatic,Front,Left wheel,Black,4,15
16289,642,CHEVROLET,Orlando,Jeep,Yes,Diesel,2.0,172000,4.0,Automatic,Front,Left wheel,Grey,4,13
2822,0,BMW,520 Vanos,Sedan,Yes,Petrol,2.0,350000,6.0,Manual,Rear,Left wheel,Blue,2,30
549,781,SUBARU,Forester,Jeep,Yes,Petrol,2.5,148213,4.0,Automatic,4x4,Left wheel,Blue,0,13
6981,1095,DAEWOO,Lacetti,Sedan,Yes,Petrol,2.0,103246,4.0,Automatic,Front,Left wheel,Black,4,17
27284,891,HYUNDAI,Elantra,Sedan,No,Petrol,2.0,105394,4.0,Tiptronic,Front,Left wheel,Black,12,9
32929,0,BMW,428 Sport Line,Coupe,Yes,Petrol,2.0,160000,4.0,Automatic,Rear,Left wheel,Black,12,12
18817,0,NISSAN,Patrol,Jeep,No,Diesel,2.8,333333,4.0,Manual,Rear,Left wheel,Black,0,35
4234,0,HONDA,Civic,Hatchback,Yes,Petrol,1.4,0,4.0,Manual,Front,Left wheel,Blue,6,28
15053,0,MERCEDES-BENZ,E 320,Sedan,Yes,Petrol,3.2,214000,6.0,Tiptronic,Rear,Left wheel,Grey,8,21
15458,966,HYUNDAI,Genesis,Coupe,Yes,Petrol,2.0,123346,4.0,Automatic,Front,Left wheel,Black,4,16
2901,473,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.4,80827,4.0,Automatic,Front,Left wheel,Green,12,11
314,382,FORD,Fusion,Sedan,Yes,Hybrid,2.0,91760,4.0,Automatic,Front,Left wheel,Black,12,10
26657,0,MERCEDES-BENZ,Sprinter,Microbus,No,Diesel,2.2,300000,4.0,Manual,Rear,Left wheel,White,1,21
10663,988,TOYOTA,Prius,Hatchback,No,Petrol,1.5,318400,4.0,Automatic,Front,Left wheel,Silver,6,18
12858,765,FORD,Focus SE,Sedan,No,Petrol,2.0,91200,4.0,Automatic,Front,Left wheel,Sky blue,10,10
1019,917,BMW,X5,Jeep,Yes,Diesel,3.0,137802,6.0,Automatic,4x4,Left wheel,Black,12,12
549,917,BMW,535,Sedan,Yes,Hybrid,3.0,151586,6.0,Automatic,Rear,Left wheel,White,12,12
12858,0,KIA,Picanto,Hatchback,No,Petrol,1.2,107000,4.0,Manual,Front,Left wheel,Silver,2,9
15000,0,BMW,328,Sedan,Yes,CNG,3.0,210408,6.0,Tiptronic,Rear,Left wheel,White,12,17
44752,1091,HYUNDAI,H1,Universal,Yes,Diesel,2.5,86000,4.0,Automatic,Front,Left wheel,Grey,4,9
17158,687,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,122740,4.0,Automatic,Front,Left wheel,White,4,15
12231,0,MITSUBISHI,Airtrek,Jeep,No,LPG,2.4,144000,4.0,Tiptronic,4x4,Right-hand drive,White,16,20
1254,0,MITSUBISHI,Lancer,Sedan,No,Petrol,1.3,100000,4.0,Manual,Rear,Left wheel,Red,0,28
94,0,HONDA,FIT,Hatchback,No,Petrol,1.5,178000,4.0,Variator,Front,Right-hand drive,Silver,4,22
25591,640,SSANGYONG,Korando,Jeep,Yes,Diesel,2.0,85704,4.0,Automatic,Front,Left wheel,Silver,4,12
14897,836,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,58962,4.0,Automatic,Front,Left wheel,White,4,15
23521,779,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,90000,4.0,Tiptronic,Front,Left wheel,White,12,12
3450,0,RENAULT,Clio,Hatchback,No,Petrol,1.2,50000,3.0,Manual,Front,Left wheel,Green,0,30
706,777,MAZDA,616,Sedan,Yes,Petrol,2.5,0,4.0,Automatic,Front,Left wheel,Red,12,11
1019,1537,TOYOTA,Highlander,Sedan,Yes,Hybrid,3.3,318358,6.0,Automatic,4x4,Left wheel,Black,12,16
16935,765,FORD,Fusion,Sedan,Yes,Petrol,2.0,71454,4.0,Automatic,Front,Left wheel,Black,0,10
19444,781,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,0,4.0,Tiptronic,Front,Left wheel,Black,6,13
11604,639,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,346470,4.0,Automatic,Front,Left wheel,Silver,4,11
706,394,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,115312,4.0,Automatic,Front,Left wheel,Grey,12,11
9408,0,MERCEDES-BENZ,C 220,Sedan,No,Diesel,2.2,111111,4.0,Manual,Rear,Left wheel,Silver,4,26
13328,1347,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,74444,4.0,Automatic,Front,Left wheel,Yellow,4,17
17876,0,NISSAN,Serena,Minivan,No,Petrol,2.0,143000,4.0,Tiptronic,Front,Right-hand drive,White,12,13
20071,0,TOYOTA,RAV 4,Jeep,No,Petrol,2.4,135000,4.0,Automatic,4x4,Left wheel,Silver,8,17
22894,862,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,124444,4.0,Automatic,Front,Left wheel,Yellow,4,14
2901,503,HONDA,Civic,Sedan,Yes,Hybrid,1.5,146403,4.0,Automatic,Front,Left wheel,White,0,13
15681,0,MITSUBISHI,Pajero,Jeep,No,Petrol,2.4,142000,4.0,Automatic,4x4,Left wheel,Blue,6,28
18660,0,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,130000,4.0,Tiptronic,Front,Left wheel,Black,6,12
22580,1017,MERCEDES-BENZ,E 300,Sedan,Yes,Petrol,2.0,50930,4.0,Automatic,Rear,Left wheel,Black,12,8
11604,639,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,264872,4.0,Automatic,Front,Left wheel,Silver,4,11
314,259,CHEVROLET,Volt,Hatchback,Yes,Hybrid,1.4,131893,4.0,Automatic,Front,Left wheel,Brown,0,11
5488,751,GMC,TERRAIN,Jeep,Yes,Petrol,2.4,138958,4.0,Automatic,Front,Left wheel,Black,12,12
18817,609,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,35058,4.0,Automatic,Front,Left wheel,White,12,7
21169,697,HONDA,Hr-v EX,Jeep,No,Petrol,1.8,33330,4.0,Automatic,4x4,Left wheel,Grey,8,10
9095,0,FIAT,500,Coupe,No,Petrol,1.2,141000,4.0,Automatic,Front,Right-hand drive,Red,4,14
1568,639,VOLKSWAGEN,Jetta,Sedan,Yes,Diesel,2.0,82392,4.0,Automatic,Front,Left wheel,Silver,12,11
3136,0,SUBARU,Legacy,Goods wagon,No,Petrol,2.0,180000,6.0,Tiptronic,4x4,Right-hand drive,Blue,6,20
17876,585,HYUNDAI,Elantra sport limited,Sedan,Yes,Petrol,1.8,117920,4.0,Tiptronic,Front,Left wheel,Grey,12,12
11290,891,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,279787,4.0,Automatic,Front,Left wheel,Silver,4,9
36065,1399,TOYOTA,Sienna,Minivan,Yes,Petrol,3.5,227200,6.0,Tiptronic,Front,Left wheel,White,16,15
862,394,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,130478,4.0,Automatic,Front,Left wheel,White,12,11
21395,781,HYUNDAI,H1,Universal,Yes,Diesel,2.5,166144,4.0,Automatic,Front,Left wheel,Silver,4,13
15681,891,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,258706,4.0,Automatic,Front,Left wheel,Silver,4,9
627,475,CHEVROLET,Volt,Jeep,Yes,Hybrid,1.4,188419,4.0,Automatic,Front,Left wheel,Red,0,13
